search_text,table_name,column_name,data_type,dicom_tag,category,description,constraints,contains_phi,relationships
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column bits_allocated (INTEGER) - Bits allocated per pixel. DICOM tag (0028,0100).",dicom_image_pixel,bits_allocated,INTEGER,"(0028,0100)",Technical Context,Bits allocated per pixel,,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column bits_stored (INTEGER) - Bits stored per pixel. DICOM tag (0028,0101).",dicom_image_pixel,bits_stored,INTEGER,"(0028,0101)",Technical Context,Bits stored per pixel,,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column high_bit (INTEGER) - Most significant bit. DICOM tag (0028,0102).",dicom_image_pixel,high_bit,INTEGER,"(0028,0102)",Technical Context,Most significant bit,,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column pixel_representation (INTEGER) - 0=unsigned, 1=signed. DICOM tag (0028,0103).",dicom_image_pixel,pixel_representation,INTEGER,"(0028,0103)",Technical Context,"0=unsigned, 1=signed",,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column planar_configuration (INTEGER) - Pixel data organization. DICOM tag (0028,0006).",dicom_image_pixel,planar_configuration,INTEGER,"(0028,0006)",Technical Context,Pixel data organization,,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column rescale_intercept (FLOAT) - Rescale intercept (CT HU). DICOM tag (0028,1052).",dicom_image_pixel,rescale_intercept,FLOAT,"(0028,1052)",Technical Context,Rescale intercept (CT HU),,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column rescale_slope (FLOAT) - Rescale slope (CT HU). DICOM tag (0028,1053).",dicom_image_pixel,rescale_slope,FLOAT,"(0028,1053)",Technical Context,Rescale slope (CT HU),,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column window_center (ARRAY) - Window center values. DICOM tag (0028,1050).",dicom_image_pixel,window_center,ARRAY,"(0028,1050)",Technical Context,Window center values,,N,FK: instance_key → dicom_instance
"Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column window_width (ARRAY) - Window width values. DICOM tag (0028,1051).",dicom_image_pixel,window_width,ARRAY,"(0028,1051)",Technical Context,Window width values,,N,FK: instance_key → dicom_instance
Table dicom_image_pixel (Technical Context): Pixel grid and encoding characteristics (not pixel values). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_image_pixel,_loaded_at,TIMESTAMP_NTZ,,Technical Context,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: instance_key → dicom_instance
Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column image_plane_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_image_plane,image_plane_key,INTEGER,,Technical Context,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column instance_key (INTEGER) - Parent instance. Constraints: FK → dicom_instance(instance_key).,dicom_image_plane,instance_key,INTEGER,,Technical Context,Parent instance,FK → dicom_instance(instance_key),N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column frame_key (INTEGER) - Parent frame (if multi-frame). Constraints: FK → dicom_frame(frame_key).,dicom_image_plane,frame_key,INTEGER,,Technical Context,Parent frame (if multi-frame),FK → dicom_frame(frame_key),N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column pixel_spacing (ARRAY) - Row/column spacing in mm. DICOM tag (0028,0030).",dicom_image_plane,pixel_spacing,ARRAY,"(0028,0030)",Technical Context,Row/column spacing in mm,,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column slice_thickness (FLOAT) - Slice thickness in mm. DICOM tag (0018,0050).",dicom_image_plane,slice_thickness,FLOAT,"(0018,0050)",Technical Context,Slice thickness in mm,,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column image_position_patient (ARRAY) - 3D position in patient coordinates. DICOM tag (0020,0032).",dicom_image_plane,image_position_patient,ARRAY,"(0020,0032)",Technical Context,3D position in patient coordinates,,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column image_orientation_patient (ARRAY) - Direction cosines (6 values). DICOM tag (0020,0037).",dicom_image_plane,image_orientation_patient,ARRAY,"(0020,0037)",Technical Context,Direction cosines (6 values),,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column spacing_between_slices (FLOAT) - Spacing between slices in mm. DICOM tag (0018,0088).",dicom_image_plane,spacing_between_slices,FLOAT,"(0018,0088)",Technical Context,Spacing between slices in mm,,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
"Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column position_reference_indicator (VARCHAR) - Anatomical reference point. DICOM tag (0020,1040).",dicom_image_plane,position_reference_indicator,VARCHAR,"(0020,1040)",Technical Context,Anatomical reference point,,N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
Table dicom_image_plane (Technical Context): Spatial resolution and positioning. Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_image_plane,_loaded_at,TIMESTAMP_NTZ,,Technical Context,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,"FK: instance_key → dicom_instance, frame_key → dicom_frame"
Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column procedure_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_procedure_step,procedure_key,INTEGER,,Workflow Context,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: study_key → dicom_study
Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column study_key (INTEGER) - Parent study. Constraints: FK → dicom_study(study_key).,dicom_procedure_step,study_key,INTEGER,,Workflow Context,Parent study,FK → dicom_study(study_key),N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column requested_procedure_id (VARCHAR) - Requested procedure identifier. DICOM tag (0040,1001).",dicom_procedure_step,requested_procedure_id,VARCHAR,"(0040,1001)",Workflow Context,Requested procedure identifier,,N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column requested_procedure_description (VARCHAR) - Requested procedure description. DICOM tag (0032,1060).",dicom_procedure_step,requested_procedure_description,VARCHAR,"(0032,1060)",Workflow Context,Requested procedure description,,N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column requested_procedure_code_seq (VARIANT) - Coded procedure request (JSON). DICOM tag (0032,1064).",dicom_procedure_step,requested_procedure_code_seq,VARIANT,"(0032,1064)",Workflow Context,Coded procedure request (JSON),,N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column performed_procedure_step_id (VARCHAR) - Performed step identifier. DICOM tag (0040,0253).",dicom_procedure_step,performed_procedure_step_id,VARCHAR,"(0040,0253)",Workflow Context,Performed step identifier,,N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column performed_procedure_description (VARCHAR) - Performed procedure description. DICOM tag (0040,0254).",dicom_procedure_step,performed_procedure_description,VARCHAR,"(0040,0254)",Workflow Context,Performed procedure description,,N,FK: study_key → dicom_study
Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column performed_procedure_type (VARCHAR) - Type of performed procedure.,dicom_procedure_step,performed_procedure_type,VARCHAR,,Workflow Context,Type of performed procedure,,N,FK: study_key → dicom_study
"Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column performed_procedure_code_seq (VARIANT) - Coded performed procedure (JSON). DICOM tag (0040,0260).",dicom_procedure_step,performed_procedure_code_seq,VARIANT,"(0040,0260)",Workflow Context,Coded performed procedure (JSON),,N,FK: study_key → dicom_study
Table dicom_procedure_step (Workflow Context): Mapping to requested/performed procedures and codes. Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_procedure_step,_loaded_at,TIMESTAMP_NTZ,,Workflow Context,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: study_key → dicom_study
Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column dose_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_dose_summary,dose_key,INTEGER,,Dose & Exposure,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,"FK: series_key → dicom_series, study_key → dicom_study"
Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column series_key (INTEGER) - Parent series. Constraints: FK → dicom_series(series_key).,dicom_dose_summary,series_key,INTEGER,,Dose & Exposure,Parent series,FK → dicom_series(series_key),N,"FK: series_key → dicom_series, study_key → dicom_study"
Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column study_key (INTEGER) - Parent study. Constraints: FK → dicom_study(study_key).,dicom_dose_summary,study_key,INTEGER,,Dose & Exposure,Parent study,FK → dicom_study(study_key),N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column ctdi_vol (FLOAT) - CT Dose Index Volume (mGy). DICOM tag (0018,9345).",dicom_dose_summary,ctdi_vol,FLOAT,"(0018,9345)",Dose & Exposure,CT Dose Index Volume (mGy),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column dose_length_product (FLOAT) - Dose Length Product (mGy*cm). DICOM tag (0018,9346).",dicom_dose_summary,dose_length_product,FLOAT,"(0018,9346)",Dose & Exposure,Dose Length Product (mGy*cm),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column exposure_time (FLOAT) - Exposure time (ms). DICOM tag (0018,1150).",dicom_dose_summary,exposure_time,FLOAT,"(0018,1150)",Dose & Exposure,Exposure time (ms),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column kvp (FLOAT) - Peak kilovoltage (kVp). DICOM tag (0018,0060).",dicom_dose_summary,kvp,FLOAT,"(0018,0060)",Dose & Exposure,Peak kilovoltage (kVp),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column xray_tube_current (FLOAT) - X-ray tube current (mA). DICOM tag (0018,1151).",dicom_dose_summary,xray_tube_current,FLOAT,"(0018,1151)",Dose & Exposure,X-ray tube current (mA),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column exposure (FLOAT) - Exposure (mAs). DICOM tag (0018,1152).",dicom_dose_summary,exposure,FLOAT,"(0018,1152)",Dose & Exposure,Exposure (mAs),,N,"FK: series_key → dicom_series, study_key → dicom_study"
"Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column acquisition_protocol (VARCHAR) - Acquisition protocol name. DICOM tag (0018,1030).",dicom_dose_summary,acquisition_protocol,VARCHAR,"(0018,1030)",Dose & Exposure,Acquisition protocol name,,N,"FK: series_key → dicom_series, study_key → dicom_study"
Table dicom_dose_summary (Dose & Exposure): Summarized exposure parameters for CT/radiography analytics. Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_dose_summary,_loaded_at,TIMESTAMP_NTZ,,Dose & Exposure,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,"FK: series_key → dicom_series, study_key → dicom_study"
Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segmentation_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_segmentation_metadata,segmentation_key,INTEGER,,Derived Objects,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column instance_key (INTEGER) - Parent SEG instance. Constraints: FK → dicom_instance(instance_key).,dicom_segmentation_metadata,instance_key,INTEGER,,Derived Objects,Parent SEG instance,FK → dicom_instance(instance_key),N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column referenced_series_key (INTEGER) - Referenced source series. Constraints: FK → dicom_series(series_key).,dicom_segmentation_metadata,referenced_series_key,INTEGER,,Derived Objects,Referenced source series,FK → dicom_series(series_key),N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segment_number (INTEGER) - Segment number. DICOM tag (0062,0004).",dicom_segmentation_metadata,segment_number,INTEGER,"(0062,0004)",Derived Objects,Segment number,,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segment_label (VARCHAR) - Segment label (e.g., Liver, Tumor). DICOM tag (0062,0005).",dicom_segmentation_metadata,segment_label,VARCHAR,"(0062,0005)",Derived Objects,"Segment label (e.g., Liver, Tumor)",,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segment_description (VARCHAR) - Segment description. DICOM tag (0062,0006).",dicom_segmentation_metadata,segment_description,VARCHAR,"(0062,0006)",Derived Objects,Segment description,,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segmentation_type (VARCHAR) - BINARY or FRACTIONAL. DICOM tag (0062,0001).",dicom_segmentation_metadata,segmentation_type,VARCHAR,"(0062,0001)",Derived Objects,BINARY or FRACTIONAL,,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column segmentation_fractional_type (VARCHAR) - PROBABILITY or OCCUPANCY. DICOM tag (0062,0010).",dicom_segmentation_metadata,segmentation_fractional_type,VARCHAR,"(0062,0010)",Derived Objects,PROBABILITY or OCCUPANCY,,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column recommended_display_grayscale (VARIANT) - Display parameters (JSON).,dicom_segmentation_metadata,recommended_display_grayscale,VARIANT,,Derived Objects,Display parameters (JSON),,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column anatomic_region_code_seq (VARIANT) - Anatomic region code (JSON). DICOM tag (0008,2218).",dicom_segmentation_metadata,anatomic_region_code_seq,VARIANT,"(0008,2218)",Derived Objects,Anatomic region code (JSON),,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column property_category_code_seq (VARIANT) - Property category (JSON). DICOM tag (0062,0003).",dicom_segmentation_metadata,property_category_code_seq,VARIANT,"(0062,0003)",Derived Objects,Property category (JSON),,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
"Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column property_type_code_seq (VARIANT) - Property type (JSON). DICOM tag (0062,000F).",dicom_segmentation_metadata,property_type_code_seq,VARIANT,"(0062,000F)",Derived Objects,Property type (JSON),,N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
Table dicom_segmentation_metadata (Derived Objects): Metadata describing segmentation objects (SEG SOP). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_segmentation_metadata,_loaded_at,TIMESTAMP_NTZ,,Derived Objects,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,"FK: instance_key → dicom_instance, referenced_series_key → dicom_series"
Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column sr_header_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_structured_report_header,sr_header_key,INTEGER,,Derived Objects,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: instance_key → dicom_instance
Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column instance_key (INTEGER) - Parent SR instance. Constraints: FK → dicom_instance(instance_key).,dicom_structured_report_header,instance_key,INTEGER,,Derived Objects,Parent SR instance,FK → dicom_instance(instance_key),N,FK: instance_key → dicom_instance
"Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column completion_flag (VARCHAR) - COMPLETE or PARTIAL. DICOM tag (0040,A491).",dicom_structured_report_header,completion_flag,VARCHAR,"(0040,A491)",Derived Objects,COMPLETE or PARTIAL,,N,FK: instance_key → dicom_instance
"Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column verification_flag (VARCHAR) - VERIFIED or UNVERIFIED. DICOM tag (0040,A493).",dicom_structured_report_header,verification_flag,VARCHAR,"(0040,A493)",Derived Objects,VERIFIED or UNVERIFIED,,N,FK: instance_key → dicom_instance
"Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column document_title (VARCHAR) - SR document title. DICOM tag (0042,0010).",dicom_structured_report_header,document_title,VARCHAR,"(0042,0010)",Derived Objects,SR document title,,N,FK: instance_key → dicom_instance
"Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column coding_scheme_identification (VARIANT) - Coding scheme references (JSON). DICOM tag (0008,0110).",dicom_structured_report_header,coding_scheme_identification,VARIANT,"(0008,0110)",Derived Objects,Coding scheme references (JSON),,N,FK: instance_key → dicom_instance
Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column referenced_instance_keys (ARRAY) - Referenced SOP instances.,dicom_structured_report_header,referenced_instance_keys,ARRAY,,Derived Objects,Referenced SOP instances,,N,FK: instance_key → dicom_instance
Table dicom_structured_report_header (Derived Objects): High-level metadata for Structured Reports (SR SOP). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_structured_report_header,_loaded_at,TIMESTAMP_NTZ,,Derived Objects,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column location_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_file_location,location_key,INTEGER,,Storage,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column instance_key (INTEGER) - Parent instance. Constraints: FK → dicom_instance(instance_key).,dicom_file_location,instance_key,INTEGER,,Storage,Parent instance,FK → dicom_instance(instance_key),N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column storage_uri (VARCHAR) - Full URI to DICOM object.,dicom_file_location,storage_uri,VARCHAR,,Storage,Full URI to DICOM object,,N,FK: instance_key → dicom_instance
"Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column storage_provider (VARCHAR) - Storage provider (S3, GCS, Azure, Snowflake).",dicom_file_location,storage_provider,VARCHAR,,Storage,"Storage provider (S3, GCS, Azure, Snowflake)",,N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column storage_container (VARCHAR) - Bucket/container name.,dicom_file_location,storage_container,VARCHAR,,Storage,Bucket/container name,,N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column object_key (VARCHAR) - Object key/path within container.,dicom_file_location,object_key,VARCHAR,,Storage,Object key/path within container,,N,FK: instance_key → dicom_instance
"Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column transfer_syntax_uid (VARCHAR) - Transfer syntax of stored object. DICOM tag (0002,0010).",dicom_file_location,transfer_syntax_uid,VARCHAR,"(0002,0010)",Storage,Transfer syntax of stored object,,N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column checksum (VARCHAR) - File checksum (MD5/SHA256).,dicom_file_location,checksum,VARCHAR,,Storage,File checksum (MD5/SHA256),,N,FK: instance_key → dicom_instance
"Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column ingestion_source (VARCHAR) - How file was ingested (PACS, upload, etc.).",dicom_file_location,ingestion_source,VARCHAR,,Storage,"How file was ingested (PACS, upload, etc.)",,N,FK: instance_key → dicom_instance
Table dicom_file_location (Storage): Where each DICOM object is stored and how to access it. Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_file_location,_loaded_at,TIMESTAMP_NTZ,,Storage,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column element_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_element,element_key,INTEGER,,Generic Store,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column instance_key (INTEGER) - Parent instance. Constraints: FK → dicom_instance(instance_key).,dicom_element,instance_key,INTEGER,,Generic Store,Parent instance,FK → dicom_instance(instance_key),N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column frame_number (INTEGER) - Frame number if per-frame element.,dicom_element,frame_number,INTEGER,,Generic Store,Frame number if per-frame element,,N,FK: instance_key → dicom_instance
"Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column tag_group (INTEGER) - DICOM tag group (e.g., 0010).",dicom_element,tag_group,INTEGER,,Generic Store,"DICOM tag group (e.g., 0010)",,N,FK: instance_key → dicom_instance
"Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column tag_element (INTEGER) - DICOM tag element (e.g., 0020).",dicom_element,tag_element,INTEGER,,Generic Store,"DICOM tag element (e.g., 0020)",,N,FK: instance_key → dicom_instance
"Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column tag_hex (VARCHAR(8)) - Hex representation (e.g., 00100020).",dicom_element,tag_hex,VARCHAR(8),,Generic Store,"Hex representation (e.g., 00100020)",,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column name (VARCHAR) - Element name from data dictionary.,dicom_element,name,VARCHAR,,Generic Store,Element name from data dictionary,,N,FK: instance_key → dicom_instance
"Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column vr (VARCHAR(4)) - Value representation (LO, PN, DA, etc.).",dicom_element,vr,VARCHAR(4),,Generic Store,"Value representation (LO, PN, DA, etc.)",,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column vm (INTEGER) - Value multiplicity.,dicom_element,vm,INTEGER,,Generic Store,Value multiplicity,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column value_string (VARCHAR) - String value of element.,dicom_element,value_string,VARCHAR,,Generic Store,String value of element,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column value_number (FLOAT) - Numeric value of element.,dicom_element,value_number,FLOAT,,Generic Store,Numeric value of element,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column value_datetime (TIMESTAMP_NTZ) - Date/time value of element.,dicom_element,value_datetime,TIMESTAMP_NTZ,,Generic Store,Date/time value of element,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column value_binary_ref (VARCHAR) - Reference to binary data.,dicom_element,value_binary_ref,VARCHAR,,Generic Store,Reference to binary data,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column is_private (BOOLEAN) - Whether this is a private tag.,dicom_element,is_private,BOOLEAN,,Generic Store,Whether this is a private tag,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column private_creator (VARCHAR) - Private creator identifier.,dicom_element,private_creator,VARCHAR,,Generic Store,Private creator identifier,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column sequence_item_key (INTEGER) - Parent sequence item (if nested).,dicom_element,sequence_item_key,INTEGER,,Generic Store,Parent sequence item (if nested),,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column sequence_path (VARCHAR) - Path in sequence hierarchy.,dicom_element,sequence_path,VARCHAR,,Generic Store,Path in sequence hierarchy,,N,FK: instance_key → dicom_instance
Table dicom_element (Generic Store): Generic store for any DICOM data element (long-tail and private tags). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_element,_loaded_at,TIMESTAMP_NTZ,,Generic Store,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: instance_key → dicom_instance
Table dicom_sequence_item (Generic Store): Represents a single item within a sequence (SQ) element. Column sequence_item_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_sequence_item,sequence_item_key,INTEGER,,Generic Store,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,"FK: instance_key → dicom_instance, parent_element_key → dicom_element"
Table dicom_sequence_item (Generic Store): Represents a single item within a sequence (SQ) element. Column instance_key (INTEGER) - Parent instance. Constraints: FK → dicom_instance(instance_key).,dicom_sequence_item,instance_key,INTEGER,,Generic Store,Parent instance,FK → dicom_instance(instance_key),N,"FK: instance_key → dicom_instance, parent_element_key → dicom_element"
